period,active_customers,churn_rate,avg_monthly_charges,is_spike
2020-01-01,11,0.0,41.418181818181814,False
2020-01-31,613,0.6199021207177814,50.4858075040783,True
2020-03-01,238,0.5168067226890757,57.2063025210084,True
2020-03-31,200,0.47,58.015,True
2020-04-30,176,0.4715909090909091,57.43267045454545,True
2020-05-30,133,0.48120300751879697,61.00375939849624,True
2020-06-29,110,0.36363636363636365,56.58909090909091,False
2020-07-29,131,0.3893129770992366,59.64236641221374,False
2020-08-28,123,0.34146341463414637,57.24512195121951,False
2020-09-27,119,0.3865546218487395,62.56470588235294,False
2020-10-27,116,0.3879310344827586,58.82456896551724,False
2020-11-26,99,0.31313131313131315,58.472727272727276,False
2020-12-26,117,0.3247863247863248,56.83632478632479,False
2021-01-25,109,0.3486238532110092,60.07064220183486,False
2021-02-24,76,0.3157894736842105,62.665789473684214,False
2021-03-26,99,0.37373737373737376,60.59242424242424,False
2021-04-25,80,0.35,62.545624999999994,False
2021-05-25,87,0.2988505747126437,62.6551724137931,False
2021-06-24,97,0.24742268041237114,59.7298969072165,False
2021-07-24,73,0.2602739726027397,57.86986301369863,False
2021-08-23,71,0.2535211267605634,60.713380281690135,False
2021-09-22,63,0.2698412698412698,66.08888888888889,False
2021-10-22,90,0.3,61.940000000000005,False
2021-11-21,85,0.15294117647058825,61.56235294117647,False
2021-12-21,94,0.24468085106382978,61.3436170212766,False
2022-01-20,79,0.2911392405063291,59.64810126582278,False
2022-02-19,79,0.189873417721519,64.6506329113924,False
2022-03-21,72,0.18055555555555555,61.486805555555556,False
2022-04-20,57,0.21052631578947367,67.66140350877193,False
2022-05-20,72,0.20833333333333334,60.99791666666667,False
2022-06-19,72,0.2222222222222222,70.25694444444444,False
2022-07-19,65,0.24615384615384617,70.60076923076923,False
2022-08-18,69,0.2753623188405797,71.22101449275362,False
2022-09-17,64,0.21875,66.4515625,False
2022-10-17,65,0.18461538461538463,69.64461538461538,False
2022-11-16,88,0.17045454545454544,61.91931818181818,False
2022-12-16,50,0.2,65.462,False
2023-01-15,65,0.23076923076923078,64.9,False
2023-02-14,59,0.22033898305084745,65.64406779661017,False
2023-03-16,56,0.25,60.65625,False
2023-04-15,64,0.203125,66.584375,False
2023-05-15,70,0.2,69.34,False
2023-06-14,65,0.2153846153846154,65.58153846153846,False
2023-07-14,65,0.23076923076923078,71.16230769230769,False
2023-08-13,51,0.11764705882352941,63.97352941176471,False
2023-09-12,61,0.09836065573770492,71.24590163934427,False
2023-10-12,74,0.16216216216216217,63.63986486486487,False
2023-11-11,68,0.20588235294117646,67.75294117647059,False
2023-12-11,64,0.140625,64.3359375,False
2024-01-10,66,0.22727272727272727,72.99848484848485,False
2024-02-09,68,0.14705882352941177,71.4875,False
2024-03-10,68,0.11764705882352941,66.88235294117646,False
2024-04-09,80,0.1,67.19125,False
2024-05-09,70,0.2,68.42857142857143,False
2024-06-08,68,0.19117647058823528,73.8845588235294,False
2024-07-08,64,0.140625,67.8296875,False
2024-08-07,80,0.125,74.655,False
2024-09-06,65,0.12307692307692308,67.82076923076923,False
2024-10-06,67,0.16417910447761194,69.65820895522388,False
2024-11-05,60,0.13333333333333333,70.9975,False
2024-12-05,76,0.07894736842105263,74.11776315789473,False
2025-01-04,76,0.10526315789473684,74.5013157894737,False
2025-02-03,70,0.07142857142857142,70.735,False
2025-03-05,72,0.05555555555555555,73.89791666666666,False
2025-04-04,80,0.05,75.780625,False
2025-05-04,76,0.11842105263157894,80.44802631578948,False
2025-06-03,89,0.14606741573033707,76.06348314606741,False
2025-07-03,98,0.10204081632653061,72.33418367346938,False
2025-08-02,100,0.09,73.321,False
2025-09-01,95,0.08421052631578947,70.82315789473684,False
2025-10-01,119,0.09243697478991597,76.37899159663866,False
2025-10-31,170,0.03529411764705882,73.73558823529412,False
2025-11-30,362,0.016574585635359115,80.69585635359117,False
